number,problem,human
1000보다 작은 자연수 중에서 3 또는 5의 배수를 모두 더하면?,1,10521
피보나치 수열에서 4백만 이하이면서 짝수인 항의 합,2,8010
가장 큰 소인수 구하기,3,5683
세자리 수를 곱해 만들 수 있는 가장 큰 대칭수,4,4700
1 ~ 20 사이의 어떤 수로도 나누어 떨어지는 가장 작은 수,5,4711
"1부터 100까지 ""제곱의 합""과 ""합의 제곱""의 차는?",6,4803
10001번째의 소수,7,4112
1000자리 숫자 안에서 이어지는 5자리 숫자의 곱 중 최대값은?,8,3322
a + b + c = 1000 이 되는 피타고라스 수,9,3660
이백만 이하 소수의 합,10,2923
20×20 격자에서 연속된 네 숫자의 곱 중 최대값,11,2111
500개 이상의 약수를 갖는 가장 작은 삼각수는?,12,2032
50자리 숫자 100개를 더한 값의 첫 10자리 구하기,13,1804
백만 이하로 시작하는 우박수 중 가장 긴 과정을 거치는 것은?,14,1765
20×20 격자의 좌상단에서 우하단으로 가는 경로의 수,15,1617
21000의 각 자리수를 모두 더하면?,16,1953
1부터 1000까지 영어로 썼을 때 사용된 글자의 개수는?,17,1054
삼각형을 따라 내려가면서 합이 최대가 되는 경로 찾기,18,1061
"20세기에서, 매월 1일이 일요일인 경우는 몇 번?",19,1028
100! 의 자리수를 모두 더하면?,20,1693
10000 이하 모든 친화수(우애수)의 합은?,21,1016
영문 이름 점수 합계 구하기,22,849
두 초과수의 합으로 나타낼 수 없는 모든 양의 정수의 합은?,23,635
"0, 1, 2, 3, 4, 5, 6, 7, 8, 9로 만들 수 있는 1,000,000번째 사전식 순열은?",24,675
피보나치 수열에서 처음으로 1000자리가 되는 항은 몇 번째?,25,881
1000 이하의 d 중에서 1/d 이 가장 긴 순환마디를 갖는 수는?,26,502
연속되는 n에 대해 가장 많은 소수를 만들어내는 2차식 구하기,27,469
1001×1001 나선모양 행렬에서 대각선 원소의 합은?,28,635
"2 ≤ a ≤ 100 이고 2 ≤ b ≤ 100인 a, b로 만들 수 있는 ab의 개수",29,608
각 자리 숫자를 5제곱해서 더했을 때 자기 자신이 되는 수들의 합은?,30,640
영국 화폐 액면가를 조합하는 방법의 수,31,450
1~9 팬디지털 곱셈식을 만들 수 있는 모든 수의 합,32,391
이상한 방법으로 약분할 수 있는 분수 찾기,33,414
각 자릿수의 팩토리얼을 더했을 때 자기 자신이 되는 수들의 합은?,34,540
백만 이하인 circular prime 개수 구하기,35,430
"10진법과 2진법으로 모두 대칭수인 1,000,000 이하 숫자의 합",36,470
왼쪽이나 오른쪽에서 한자리씩 없애가도 여전히 소수인 수의 합은?,37,383
"어떤 수에 (1, 2, ... )를 곱해서 이어붙여 얻을 수 있는 가장 큰 1 ~ 9 팬디지털 숫자",38,347
가장 많은 직각삼각형이 만들어지는 둘레(≤ 1000)의 길이는?,39,437
어떤 무리수에서 소수점 n번째 자리 숫자 알아내기,40,495
n자리 팬디지털 소수 중에서 가장 큰 수,41,325
주어진 텍스트 파일에 들어있는 '삼각단어'의 개수는?,42,365
부분열에 관련된 특이한 성질을 가진 모든 팬디지털 숫자의 합,43,264
합과 차도 모두 오각수인 두 오각수 차의 최소값은?,44,284
"오각수와 육각수도 되는, 40755 다음으로 큰 삼각수는?",45,321
(소수 + 2×제곱수)로 나타내지 못하는 가장 작은 홀수인 합성수는?,46,261
서로 다른 네 개의 소인수를 갖는 수들이 처음으로 네 번 연속되는 경우는?,47,237
11 + 22 + 33 + ... + 10001000 의 마지막 10자리,48,504
세 항이 소수이면서 다른 수의 순열이 되는 4자리 숫자의 등차수열 찾기,49,230
1백만 이하의 소수 중 가장 길게 연속되는 소수의 합으로 표현되는 수는?,50,242
일부 숫자를 치환했을 때 8개의 서로 다른 소수가 생기는 가장 작은 소수,51,106
"2배, 3배, 4배, 5배, 6배의 결과도 같은 숫자로 이루어지는 가장 작은 수",52,333
1 ≤ n ≤ 100 일때 nCr의 값이 1백만을 넘는 경우는 모두 몇 번?,53,286
포커 게임에서 이긴 회수 구하기,54,159
10000 미만의 라이크렐 수 (Lychrel number) 세기,55,205
ab 형태의 자연수에 대해 자릿수 합의 최대값 구하기,56,256
제곱근 2의 연분수꼴 살펴보기,57,160
나선모양 격자의 대각선상에 있는 소수의 비율 추적하기,58,166
XOR 방식으로 암호화된 메시지 깨기,59,189
다섯 소수 중 어떤 두 개를 이어붙여도 소수가 되는 수 찾기,60,93
순환적인 성질을 갖는 4자리 다각수 여섯 개의 합,61,87
자릿수로 만든 순열 중에서 5개가 세제곱수인 가장 작은 숫자는?,62,98
n자리 숫자이면서 n제곱수도 되는 양의 정수는 모두 몇 개?,63,170
제곱근을 연분수로 나타낼 때 반복 주기가 홀수인 경우 세기,64,80
e의 100번째 연분수 확장 값의 분자 자릿수를 모두 더하면?,65,90
x2 ? Dy2 = 1 형태의 디오판토스 방정식 풀기,66,64
삼각형에서 경로의 합 중 최대값을 구하는 효율적인 방법은?,67,400
마방진 성질을 갖는 5각 도형에서 얻을 수 있는 16자리 수의 최대값 구하기,68,57
n/φ(n)이 최대가 되는 1백만 이하의 n 찾기,69,97
φ(n)이 n의 순열이 되는 수 조사하기,70,60
기약 진분수를 커지는 순으로 늘어놓기,71,74
분모가 1백만 이하인 기약 진분수의 개수,72,65
"분모가 12,000 이하일 때 1/3과 1/2 사이에 위치한 기약 진분수의 개수",73,74
"자릿수의 계승값을 더해갈 때, 반복이 일어나기 전의 단계가 60번인 경우 찾기",74,74
직각삼각형을 만들어내는 방법이 한 가지 뿐인 경우 세기,75,50
숫자 100을 두 개 이상의 자연수의 합으로 나타내는 방법은 모두 몇 가지?,76,85
소수의 합으로 나타내는 방법이 5000가지가 넘는 최초의 숫자는?,77,53
동전을 여러 더미로 나누는 경우의 수 세기,78,44
접속 기록으로부터 비밀번호 알아내기,79,171
무리수인 제곱근들의 자릿수 더하기,80,60
오른쪽과 아래로만 움직이면서 좌상단→우하단으로 가는 경로의 합이 최소인 경우는?,81,100
맨 왼쪽 열에서 맨 오른쪽 열까지 가는 경로의 합이 최소인 경우는?,82,41
상하좌우로 움직여서 좌상단→우하단으로 가는 경로의 합이 최소인 경우는?,83,38
모노폴리 게임을 4면체 주사위로 할 때 가장 많이 방문하는 칸은?,84,35
사각 격자 안에 포함된 사각형 개수 세기,85,73
육면체의 한쪽 구석에서 다른 구석으로 가는 최단 경로 찾기,86,30
소수의 제곱 + 소수의 3제곱 + 소수의 4제곱으로 나타낼 수 있는 숫자,87,71
일정한 개수의 숫자들을 더해도 곱해도 같은 값이 되는 경우 조사하기,88,23
로마숫자 최적화하기,89,44
정육면체 두 개로 제곱수 만들기,90,30
사분면 안의 직각삼각형 개수 세기,91,52
자릿수를 제곱해서 더해가는 수열의 신기한 성질,92,96
숫자 4개와 사칙연산을 써서 가장 길게 이어지는 숫자 만들기,93,25
정수 둘레와 정수 넓이를 갖는 거의 정삼각형 찾기,94,37
1백만 이하의 숫자로 이루어진 친화고리,95,32
스도쿠 퍼즐 풀기,96,47
메르센 수가 아닌 소수 28433×27830457+1의 마지막 10자리는?,97,130
제곱수를 나타내는 애너그램 쌍 찾기,98,25
밑과 지수 형태로 나타낸 수 중 가장 큰 수 찾기,99,72
두 개의 파란 공이 뽑힐 확률이 50%인 경우,100,48
다항식의 BOP에서 나온 첫 오답의 총합은?,101,32
좌표평면의 원점을 지나는 삼각형의 개수는?,102,54
최적 특수합 집합의 원소를 한 문자열로 나열하면?,103,24
앞자리와 뒷자리가 모두 팬디지털인 첫 피보나치 항,104,34
특수합 집합의 원소의 총합,105,18
규칙에 위배되는 예비 특수합 집합의 수,106,17
최소 그래프,107,27
디오판투스 항등식,108,71
다트 문제,109,22
디오판투스 항등식 2,110,30
특정한 수가 반복될 때 소수,111,21
오락가락수,112,115
오락가락수가 아닌 수,113,49
블록을 조합할 수 있는 가짓수 1,114,36
블록을 조합할 수 있는 가짓수 2,115,25
빨강 또는 초록 또는 파란색 타일,116,38
"빨강, 초록, 파랑 타일",117,30
팬디지털 소수의 집합,118,19
자릿수 합의 거듭제곱,119,51
제곱수로 나눈 나머지,120,81
원반 꺼내기 게임의 상금,121,9
효율적인 거듭제곱 방법,122,4
소수의 제곱으로 나눈 나머지,123,11
rad(n)으로 정렬하기,124,10
연속된 제곱수의 합으로 나타낼 수 있는 대칭수,125,5
직육면체 덮기,126,5
abc-히트,127,4
육각타일간의 차이,128,4
레퓨닛 나누기,129,6
소수 레퓨닛의 성질을 가진 합성수,130,7
